      1 cpu MHz		: 2394.286
      1 cpu MHz		: 2394.295
      1 cpu MHz		: 2394.316
      1 cpu MHz		: 2394.467
      1 cpu MHz		: 2394.311
      1 cpu MHz		: 2394.322
      1 cpu MHz		: 2394.325
      1 cpu MHz		: 2394.329
      1 cpu MHz		: 2593.863
      1 cpu MHz		: 2593.876
      1 cpu MHz		: 2593.898
      1 cpu MHz		: 2593.910
      1 cpu MHz		: 2394.350
      1 cpu MHz		: 2394.352
      1 cpu MHz		: 2394.356
      1 cpu MHz		: 2394.523
      1 cpu MHz		: 2494.096
      1 cpu MHz		: 2494.109
      1 cpu MHz		: 2494.121
      1 cpu MHz		: 2494.123
      1 cpu MHz		: 2992.909
      1 cpu MHz		: 2992.919
      1 cpu MHz		: 2992.938
      1 cpu MHz		: 2992.957
      1 cpu MHz		: 2893.138
      1 cpu MHz		: 2893.157
      1 cpu MHz		: 2893.158
      1 cpu MHz		: 2893.191
      1 cpu MHz		: 2992.891
      1 cpu MHz		: 2992.928
      1 cpu MHz		: 2992.939
      1 cpu MHz		: 2992.955
      1 cpu MHz		: 2394.315
      1 cpu MHz		: 2394.326
      1 cpu MHz		: 2394.330
      1 cpu MHz		: 2394.353
      1 cpu MHz		: 2693.620
      1 cpu MHz		: 2693.622
      1 cpu MHz		: 2693.648
      1 cpu MHz		: 2693.726
